Log Entry,Timestamp,Time_s,Log Entry Type,World Position (z),Rocket Velocity (z),Rocket Acceleration (z)
110,900,0.9,ESTIMATOR_VAR,0.0,0.0,0.0
120,910,0.91,ESTIMATOR_VAR,0.0,0.0,0.0
130,920,0.92,ESTIMATOR_VAR,0.0,0.0,0.0
140,930,0.93,ESTIMATOR_VAR,0.0,0.001,0.0
150,940,0.94,ESTIMATOR_VAR,0.0,0.003,0.0
160,950,0.95,ESTIMATOR_VAR,0.0,0.005,0.0
170,960,0.96,ESTIMATOR_VAR,0.0,0.007,0.0
180,970,0.97,ESTIMATOR_VAR,0.0,0.011,0.0
190,980,0.98,ESTIMATOR_VAR,0.001,-0.007,-2.38
200,990,0.99,ESTIMATOR_VAR,0.001,-0.024,-2.189
213,1000,1.0,ESTIMATOR_VAR,0.001,-0.027,-1.01
223,1010,1.01,ESTIMATOR_VAR,0.001,-0.024,-0.474
233,1020,1.02,ESTIMATOR_VAR,0.002,-0.016,-0.177
244,1030,1.03,ESTIMATOR_VAR,0.003,-0.005,-0.027
254,1040,1.04,ESTIMATOR_VAR,0.004,0.007,0.051
264,1050,1.05,ESTIMATOR_VAR,0.006,0.022,0.102
274,1060,1.06,ESTIMATOR_VAR,0.008,0.039,0.114
284,1070,1.07,ESTIMATOR_VAR,0.01,0.059,0.121
294,1080,1.08,ESTIMATOR_VAR,0.014,0.08,0.13
304,1090,1.09,ESTIMATOR_VAR,0.017,0.104,0.127
314,1100,1.1,ESTIMATOR_VAR,0.022,0.13,0.14
324,1110,1.11,ESTIMATOR_VAR,0.027,0.159,0.142
334,1120,1.12,ESTIMATOR_VAR,0.033,0.19,0.14
344,1130,1.13,ESTIMATOR_VAR,0.04,0.223,0.143
354,1140,1.14,ESTIMATOR_VAR,0.048,0.26,0.138
364,1150,1.15,ESTIMATOR_VAR,0.058,0.299,0.134
374,1160,1.16,ESTIMATOR_VAR,0.068,0.341,0.134
384,1170,1.17,ESTIMATOR_VAR,0.08,0.386,0.137
394,1180,1.18,ESTIMATOR_VAR,0.093,0.434,0.134
404,1190,1.19,ESTIMATOR_VAR,0.107,0.486,0.135
414,1200,1.2,ESTIMATOR_VAR,0.119,0.523,0.126
424,1210,1.21,ESTIMATOR_VAR,0.133,0.562,0.122
434,1220,1.22,ESTIMATOR_VAR,0.147,0.604,0.122
445,1230,1.23,ESTIMATOR_VAR,0.163,0.648,0.117
455,1240,1.24,ESTIMATOR_VAR,0.18,0.695,0.112
465,1250,1.25,ESTIMATOR_VAR,0.204,0.768,0.129
475,1260,1.26,ESTIMATOR_VAR,0.231,0.846,0.13
485,1270,1.27,ESTIMATOR_VAR,0.26,0.927,0.129
495,1280,1.28,ESTIMATOR_VAR,0.291,1.014,0.13
505,1290,1.29,ESTIMATOR_VAR,0.325,1.104,0.137
515,1300,1.3,ESTIMATOR_VAR,0.362,1.199,0.14
525,1310,1.31,ESTIMATOR_VAR,0.401,1.298,0.135
535,1320,1.32,ESTIMATOR_VAR,0.444,1.403,0.129
545,1330,1.33,ESTIMATOR_VAR,0.489,1.512,0.126
555,1340,1.34,ESTIMATOR_VAR,0.538,1.626,0.134
565,1350,1.35,ESTIMATOR_VAR,0.591,1.744,0.13
575,1360,1.36,ESTIMATOR_VAR,0.646,1.868,0.129
585,1370,1.37,ESTIMATOR_VAR,0.706,1.997,0.126
595,1380,1.38,ESTIMATOR_VAR,0.769,2.131,0.137
605,1390,1.39,ESTIMATOR_VAR,0.837,2.271,0.135
615,1400,1.4,ESTIMATOR_VAR,0.908,2.416,0.134
625,1410,1.41,ESTIMATOR_VAR,0.984,2.566,0.132
635,1420,1.42,ESTIMATOR_VAR,1.065,2.723,0.138
646,1430,1.43,ESTIMATOR_VAR,1.15,2.884,0.13
656,1440,1.44,ESTIMATOR_VAR,1.24,3.053,0.126
666,1450,1.45,ESTIMATOR_VAR,1.334,3.226,0.132
676,1460,1.46,ESTIMATOR_VAR,1.435,3.408,0.132
686,1470,1.47,ESTIMATOR_VAR,1.517,3.534,0.134
696,1480,1.48,ESTIMATOR_VAR,1.628,3.727,0.13
706,1490,1.49,ESTIMATOR_VAR,1.718,3.859,0.129
719,1500,1.5,ESTIMATOR_VAR,1.811,3.996,0.129
729,1510,1.51,ESTIMATOR_VAR,1.909,4.137,0.134
739,1520,1.52,ESTIMATOR_VAR,2.011,4.282,0.136
749,1530,1.53,ESTIMATOR_VAR,2.117,4.433,0.136
759,1540,1.54,ESTIMATOR_VAR,2.261,4.663,0.124
769,1550,1.55,ESTIMATOR_VAR,2.412,4.902,0.126
779,1560,1.56,ESTIMATOR_VAR,2.569,5.146,0.127
789,1570,1.57,ESTIMATOR_VAR,2.734,5.398,0.124
799,1580,1.58,ESTIMATOR_VAR,2.907,5.657,0.126
809,1590,1.59,ESTIMATOR_VAR,3.087,5.923,0.126
828,1830,1.83,ESTIMATOR_VAR,10.128,14.459,0.124
838,1840,1.84,ESTIMATOR_VAR,10.556,14.908,0.127
848,1850,1.85,ESTIMATOR_VAR,10.995,15.364,0.126
858,1860,1.86,ESTIMATOR_VAR,11.444,15.825,0.121
868,1870,1.87,ESTIMATOR_VAR,11.906,16.293,0.124
878,1880,1.88,ESTIMATOR_VAR,12.38,16.767,0.13
888,1890,1.89,ESTIMATOR_VAR,12.866,17.249,0.129
898,1900,1.9,ESTIMATOR_VAR,13.365,17.737,0.129
908,1910,1.91,ESTIMATOR_VAR,13.876,18.231,0.126
918,1920,1.92,ESTIMATOR_VAR,14.399,18.732,0.126
928,1930,1.93,ESTIMATOR_VAR,14.935,19.239,0.126
938,1940,1.94,ESTIMATOR_VAR,15.484,19.752,0.121
948,1950,1.95,ESTIMATOR_VAR,16.042,20.267,0.126
958,1960,1.96,ESTIMATOR_VAR,16.616,20.792,0.127
968,1970,1.97,ESTIMATOR_VAR,17.078,21.149,0.138
978,1980,1.98,ESTIMATOR_VAR,17.549,21.51,0.148
988,1990,1.99,ESTIMATOR_VAR,18.03,21.876,0.148
1001,2000,2.0,ESTIMATOR_VAR,18.518,22.244,0.15
1011,2010,2.01,ESTIMATOR_VAR,19.151,22.8,0.124
1021,2020,2.02,ESTIMATOR_VAR,19.801,23.366,0.122
1031,2030,2.03,ESTIMATOR_VAR,20.465,23.937,0.124
1041,2040,2.04,ESTIMATOR_VAR,21.139,24.511,0.122
1052,2050,2.05,ESTIMATOR_VAR,21.824,25.086,0.127
1062,2060,2.06,ESTIMATOR_VAR,22.522,25.666,0.124
1072,2070,2.07,ESTIMATOR_VAR,23.235,26.253,0.124
1082,2080,2.08,ESTIMATOR_VAR,23.964,26.847,0.129
1092,2090,2.09,ESTIMATOR_VAR,24.702,27.442,0.122
1102,2100,2.1,ESTIMATOR_VAR,25.454,28.041,0.129
1112,2110,2.11,ESTIMATOR_VAR,26.216,28.641,0.127
1122,2120,2.12,ESTIMATOR_VAR,26.993,29.247,0.121
1132,2130,2.13,ESTIMATOR_VAR,27.785,29.86,0.126
1142,2140,2.14,ESTIMATOR_VAR,28.59,30.475,0.121
1152,2150,2.15,ESTIMATOR_VAR,29.404,31.09,0.122
1162,2160,2.16,ESTIMATOR_VAR,30.228,31.705,0.126
1172,2170,2.17,ESTIMATOR_VAR,31.066,32.325,0.122
1182,2180,2.18,ESTIMATOR_VAR,31.918,32.949,0.119
1192,2190,2.19,ESTIMATOR_VAR,32.777,33.57,0.116
1202,2200,2.2,ESTIMATOR_VAR,33.654,34.199,0.122
1212,2210,2.21,ESTIMATOR_VAR,34.536,34.823,0.127
1222,2220,2.22,ESTIMATOR_VAR,35.429,35.449,0.126
1232,2230,2.23,ESTIMATOR_VAR,36.333,36.075,0.127
1242,2240,2.24,ESTIMATOR_VAR,37.252,36.706,0.13
1253,2250,2.25,ESTIMATOR_VAR,38.177,37.334,0.134
1263,2260,2.26,ESTIMATOR_VAR,39.117,37.965,0.129
1273,2270,2.27,ESTIMATOR_VAR,40.067,38.597,0.122
1283,2280,2.28,ESTIMATOR_VAR,41.029,39.232,0.122
1293,2290,2.29,ESTIMATOR_VAR,41.994,39.858,0.124
1303,2300,2.3,ESTIMATOR_VAR,42.969,40.484,0.118
1313,2310,2.31,ESTIMATOR_VAR,43.957,41.114,0.122
1323,2320,2.32,ESTIMATOR_VAR,44.958,41.746,0.134
1336,2550,2.55,ESTIMATOR_VAR,69.722,55.359,0.121
1346,2560,2.56,ESTIMATOR_VAR,70.845,55.892,0.145
1356,2570,2.57,ESTIMATOR_VAR,71.974,56.421,0.13
1366,2580,2.58,ESTIMATOR_VAR,73.106,56.947,0.119
1376,2590,2.59,ESTIMATOR_VAR,74.239,57.465,0.135
1386,2600,2.6,ESTIMATOR_VAR,75.372,57.976,0.126
1396,2610,2.61,ESTIMATOR_VAR,76.501,58.477,0.121
1406,2620,2.62,ESTIMATOR_VAR,77.634,58.974,0.116
1416,2630,2.63,ESTIMATOR_VAR,78.768,59.465,0.138
1426,2640,2.64,ESTIMATOR_VAR,79.884,59.934,0.119
1437,2650,2.65,ESTIMATOR_VAR,81.014,60.408,0.124
1447,2660,2.66,ESTIMATOR_VAR,82.139,60.872,0.13
1457,2670,2.67,ESTIMATOR_VAR,83.269,61.334,0.143
1467,2680,2.68,ESTIMATOR_VAR,84.397,61.788,0.121
1477,2690,2.69,ESTIMATOR_VAR,85.516,62.228,0.121
1487,2700,2.7,ESTIMATOR_VAR,86.641,62.668,0.137
1497,2710,2.71,ESTIMATOR_VAR,87.762,63.098,0.127
1507,2720,2.72,ESTIMATOR_VAR,88.881,63.52,0.113
1517,2730,2.73,ESTIMATOR_VAR,89.998,63.936,0.137
1527,2740,2.74,ESTIMATOR_VAR,91.11,64.342,0.122
1537,2750,2.75,ESTIMATOR_VAR,92.224,64.745,0.111
1547,2760,2.76,ESTIMATOR_VAR,93.329,65.134,0.122
1557,2770,2.77,ESTIMATOR_VAR,94.425,65.512,0.134
1567,2780,2.78,ESTIMATOR_VAR,95.517,65.881,0.126
1577,2790,2.79,ESTIMATOR_VAR,96.609,66.246,0.124
1587,2800,2.8,ESTIMATOR_VAR,97.698,66.604,0.129
1597,2810,2.81,ESTIMATOR_VAR,98.788,66.958,0.132
1607,2820,2.82,ESTIMATOR_VAR,99.859,67.292,0.124
1617,2830,2.83,ESTIMATOR_VAR,100.938,67.628,0.122
1627,2840,2.84,ESTIMATOR_VAR,102.0,67.947,0.132
1638,2850,2.85,ESTIMATOR_VAR,103.062,68.262,0.129
1648,2860,2.86,ESTIMATOR_VAR,104.119,68.569,0.122
1658,2870,2.87,ESTIMATOR_VAR,105.17,68.867,0.127
1668,2880,2.88,ESTIMATOR_VAR,106.215,69.157,0.121
1678,2890,2.89,ESTIMATOR_VAR,107.246,69.432,0.116
1688,2900,2.9,ESTIMATOR_VAR,108.273,69.701,0.138
1698,2910,2.91,ESTIMATOR_VAR,109.291,69.96,0.132
1716,3050,3.05,ESTIMATOR_VAR,122.821,72.745,0.124
1726,3060,3.06,ESTIMATOR_VAR,123.729,72.885,0.116
1737,3070,3.07,ESTIMATOR_VAR,124.624,73.013,0.126
1747,3080,3.08,ESTIMATOR_VAR,125.512,73.133,0.126
1758,3090,3.09,ESTIMATOR_VAR,126.397,73.251,0.124
1768,3100,3.1,ESTIMATOR_VAR,127.281,73.366,0.122
1778,3110,3.11,ESTIMATOR_VAR,128.149,73.469,0.14
1788,3120,3.12,ESTIMATOR_VAR,129.001,73.558,0.127
1799,3130,3.13,ESTIMATOR_VAR,129.852,73.645,0.121
1809,3140,3.14,ESTIMATOR_VAR,130.695,73.726,0.134
1819,3150,3.15,ESTIMATOR_VAR,131.527,73.798,0.138
1829,3160,3.16,ESTIMATOR_VAR,132.345,73.859,0.13
1840,3170,3.17,ESTIMATOR_VAR,133.159,73.916,0.127
1850,3180,3.18,ESTIMATOR_VAR,133.959,73.962,0.135
1860,3190,3.19,ESTIMATOR_VAR,134.764,74.011,0.135
1870,3200,3.2,ESTIMATOR_VAR,135.552,74.048,0.134
1881,3210,3.21,ESTIMATOR_VAR,136.333,74.079,0.132
1891,3220,3.22,ESTIMATOR_VAR,137.103,74.102,0.132
1901,3230,3.23,ESTIMATOR_VAR,137.859,74.114,0.13
1911,3240,3.24,ESTIMATOR_VAR,138.611,74.124,0.118
1922,3250,3.25,ESTIMATOR_VAR,139.349,74.122,0.118
1932,3260,3.26,ESTIMATOR_VAR,140.091,74.124,0.127
1943,3270,3.27,ESTIMATOR_VAR,140.81,74.109,0.121
1953,3280,3.28,ESTIMATOR_VAR,141.512,74.082,0.119
1964,3290,3.29,ESTIMATOR_VAR,142.219,74.059,0.124
1974,3300,3.3,ESTIMATOR_VAR,142.931,74.04,0.138
1984,3310,3.31,ESTIMATOR_VAR,143.642,74.02,0.146
1994,3320,3.32,ESTIMATOR_VAR,144.355,74.002,0.148
2005,3330,3.33,ESTIMATOR_VAR,145.062,73.98,0.146
2015,3340,3.34,ESTIMATOR_VAR,145.743,73.939,0.112
2025,3350,3.35,ESTIMATOR_VAR,146.381,73.869,0.126
2035,3360,3.36,ESTIMATOR_VAR,147.056,73.825,0.107
2046,3370,3.37,ESTIMATOR_VAR,147.726,73.778,0.102
2056,3380,3.38,ESTIMATOR_VAR,148.381,73.72,0.112
2066,3390,3.39,ESTIMATOR_VAR,149.031,73.66,0.11
2076,3400,3.4,ESTIMATOR_VAR,149.638,73.57,0.119
2087,3410,3.41,ESTIMATOR_VAR,150.227,73.468,0.116
2097,3420,3.42,ESTIMATOR_VAR,150.808,73.361,0.116
2107,3430,3.43,ESTIMATOR_VAR,151.372,73.244,0.116
2117,3440,3.44,ESTIMATOR_VAR,151.951,73.138,0.124
2128,3450,3.45,ESTIMATOR_VAR,152.508,73.018,0.124
2138,3460,3.46,ESTIMATOR_VAR,153.061,72.897,0.122
2149,3470,3.47,ESTIMATOR_VAR,153.6,72.766,0.129
2159,3480,3.48,ESTIMATOR_VAR,154.137,72.635,0.124
2170,3490,3.49,ESTIMATOR_VAR,154.666,72.5,0.116
2183,3500,3.5,ESTIMATOR_VAR,155.194,72.365,0.114
2193,3510,3.51,ESTIMATOR_VAR,155.707,72.221,0.122
2203,3520,3.52,ESTIMATOR_VAR,156.203,72.067,0.129
2214,3530,3.53,ESTIMATOR_VAR,156.701,71.915,0.122
2225,3670,3.67,ESTIMATOR_VAR,162.796,69.342,0.116
2235,3680,3.68,ESTIMATOR_VAR,163.179,69.134,0.119
2246,3690,3.69,ESTIMATOR_VAR,163.553,68.922,0.129
2256,3700,3.7,ESTIMATOR_VAR,163.92,68.707,0.124
2266,3710,3.71,ESTIMATOR_VAR,164.283,68.49,0.132
2276,3720,3.72,ESTIMATOR_VAR,164.645,68.276,0.127
2287,3730,3.73,ESTIMATOR_VAR,164.993,68.053,0.127
2297,3740,3.74,ESTIMATOR_VAR,165.317,67.816,0.124
2307,3750,3.75,ESTIMATOR_VAR,165.643,67.582,0.129
2317,3760,3.76,ESTIMATOR_VAR,165.977,67.355,0.129
2328,3770,3.77,ESTIMATOR_VAR,166.298,67.122,0.121
2338,3780,3.78,ESTIMATOR_VAR,166.611,66.884,0.122
2348,3790,3.79,ESTIMATOR_VAR,166.919,66.645,0.129
2358,3800,3.8,ESTIMATOR_VAR,167.221,66.405,0.122
2369,3810,3.81,ESTIMATOR_VAR,167.507,66.154,0.119
2379,3820,3.82,ESTIMATOR_VAR,167.797,65.909,0.132
2389,3830,3.83,ESTIMATOR_VAR,168.08,65.661,0.132
2399,3840,3.84,ESTIMATOR_VAR,168.348,65.405,0.124
2410,3850,3.85,ESTIMATOR_VAR,168.609,65.146,0.126
2420,3860,3.86,ESTIMATOR_VAR,168.874,64.892,0.127
2431,3870,3.87,ESTIMATOR_VAR,169.123,64.629,0.121
2441,3880,3.88,ESTIMATOR_VAR,169.36,64.359,0.124
2452,3890,3.89,ESTIMATOR_VAR,169.598,64.093,0.121
2462,3900,3.9,ESTIMATOR_VAR,169.823,63.82,0.121
2472,3910,3.91,ESTIMATOR_VAR,170.058,63.556,0.124
2482,3920,3.92,ESTIMATOR_VAR,170.288,63.289,0.127
2493,3930,3.93,ESTIMATOR_VAR,170.513,63.023,0.129
2503,3940,3.94,ESTIMATOR_VAR,170.74,62.758,0.124
2513,3950,3.95,ESTIMATOR_VAR,170.954,62.488,0.121
2523,3960,3.96,ESTIMATOR_VAR,171.162,62.215,0.119
2534,3970,3.97,ESTIMATOR_VAR,171.365,61.941,0.119
2544,3980,3.98,ESTIMATOR_VAR,171.563,61.666,0.129
2554,3990,3.99,ESTIMATOR_VAR,171.747,61.383,0.127
2567,4000,4.0,ESTIMATOR_VAR,171.925,61.098,0.118
2578,4010,4.01,ESTIMATOR_VAR,172.09,60.807,0.118
2588,4020,4.02,ESTIMATOR_VAR,172.259,60.521,0.122
2598,4030,4.03,ESTIMATOR_VAR,172.432,60.239,0.127
2608,4040,4.04,ESTIMATOR_VAR,172.606,59.96,0.132
2619,4050,4.05,ESTIMATOR_VAR,172.761,59.67,0.127
2629,4060,4.06,ESTIMATOR_VAR,172.91,59.379,0.119
2639,4070,4.07,ESTIMATOR_VAR,173.055,59.087,0.122
2649,4080,4.08,ESTIMATOR_VAR,173.335,58.885,0.134
2661,4090,4.09,ESTIMATOR_VAR,173.468,58.588,0.118
2671,4100,4.1,ESTIMATOR_VAR,173.754,58.394,0.119
2681,4110,4.11,ESTIMATOR_VAR,174.035,58.197,0.122
2691,4120,4.12,ESTIMATOR_VAR,174.302,57.992,0.129
2702,4130,4.13,ESTIMATOR_VAR,174.563,57.786,0.138
2712,4140,4.14,ESTIMATOR_VAR,174.82,57.578,0.134
2722,4150,4.15,ESTIMATOR_VAR,174.909,57.262,0.129
2738,4300,4.3,ESTIMATOR_VAR,175.827,52.512,0.121
2748,4310,4.31,ESTIMATOR_VAR,175.865,52.197,0.122
2758,4320,4.32,ESTIMATOR_VAR,175.884,51.872,0.124
2769,4330,4.33,ESTIMATOR_VAR,175.923,51.562,0.127
2779,4340,4.34,ESTIMATOR_VAR,175.944,51.242,0.124
2789,4350,4.35,ESTIMATOR_VAR,175.961,50.923,0.121
2799,4360,4.36,ESTIMATOR_VAR,175.977,50.604,0.121
2810,4370,4.37,ESTIMATOR_VAR,175.988,50.284,0.124
2820,4380,4.38,ESTIMATOR_VAR,176.011,49.974,0.102
2830,4390,4.39,ESTIMATOR_VAR,176.024,49.66,0.127
2840,4400,4.4,ESTIMATOR_VAR,176.041,49.351,0.129
2851,4410,4.41,ESTIMATOR_VAR,176.048,49.037,0.122
2861,4420,4.42,ESTIMATOR_VAR,176.034,48.711,0.127
2871,4430,4.43,ESTIMATOR_VAR,176.018,48.387,0.127
2881,4440,4.44,ESTIMATOR_VAR,176.016,48.074,0.138
2892,4450,4.45,ESTIMATOR_VAR,176.003,47.755,0.11
2902,4460,4.46,ESTIMATOR_VAR,175.995,47.442,0.135
2912,4470,4.47,ESTIMATOR_VAR,175.984,47.128,0.121
2922,4480,4.48,ESTIMATOR_VAR,175.964,46.811,0.106
2934,4490,4.49,ESTIMATOR_VAR,175.94,46.494,0.122
2947,4500,4.5,ESTIMATOR_VAR,175.914,46.177,0.14
2957,4510,4.51,ESTIMATOR_VAR,175.869,45.85,0.127
2967,4520,4.52,ESTIMATOR_VAR,175.838,45.534,0.122
2978,4530,4.53,ESTIMATOR_VAR,175.795,45.213,0.114
2988,4540,4.54,ESTIMATOR_VAR,175.758,44.897,0.116
2998,4550,4.55,ESTIMATOR_VAR,175.726,44.587,0.129
3008,4560,4.56,ESTIMATOR_VAR,175.693,44.278,0.113
3019,4570,4.57,ESTIMATOR_VAR,175.656,43.968,0.124
3029,4580,4.58,ESTIMATOR_VAR,175.609,43.654,0.137
3039,4590,4.59,ESTIMATOR_VAR,175.569,43.346,0.129
3049,4600,4.6,ESTIMATOR_VAR,175.525,43.039,0.124
3060,4610,4.61,ESTIMATOR_VAR,175.47,42.725,0.132
3070,4620,4.62,ESTIMATOR_VAR,175.421,42.418,0.127
3080,4630,4.63,ESTIMATOR_VAR,175.524,42.211,0.146
3090,4640,4.64,ESTIMATOR_VAR,175.638,42.013,0.155
3101,4650,4.65,ESTIMATOR_VAR,175.741,41.809,0.143
3111,4660,4.66,ESTIMATOR_VAR,175.666,41.491,0.122
3121,4670,4.67,ESTIMATOR_VAR,175.582,41.168,0.122
3131,4680,4.68,ESTIMATOR_VAR,175.504,40.851,0.1
3143,4690,4.69,ESTIMATOR_VAR,175.431,40.54,0.127
3153,4700,4.7,ESTIMATOR_VAR,175.342,40.222,0.159
3163,4710,4.71,ESTIMATOR_VAR,175.25,39.902,0.142
3173,4720,4.72,ESTIMATOR_VAR,175.172,39.595,0.098
3184,4730,4.73,ESTIMATOR_VAR,175.085,39.282,0.068
3194,4740,4.74,ESTIMATOR_VAR,174.982,38.961,0.134
3204,4750,4.75,ESTIMATOR_VAR,174.899,38.657,0.177
3214,4760,4.76,ESTIMATOR_VAR,174.815,38.353,0.135
3225,4770,4.77,ESTIMATOR_VAR,174.729,38.049,0.122
3235,4780,4.78,ESTIMATOR_VAR,174.633,37.742,0.132
3250,4970,4.97,ESTIMATOR_VAR,172.602,32.119,0.127
3260,4980,4.98,ESTIMATOR_VAR,172.48,31.831,0.124
3270,4990,4.99,ESTIMATOR_VAR,172.347,31.539,0.116
3283,5000,5.0,ESTIMATOR_VAR,172.229,31.258,0.121
3294,5010,5.01,ESTIMATOR_VAR,172.109,30.978,0.122
3304,5020,5.02,ESTIMATOR_VAR,171.988,30.698,0.121
3314,5030,5.03,ESTIMATOR_VAR,171.859,30.415,0.122
3324,5040,5.04,ESTIMATOR_VAR,171.72,30.128,0.127
3335,5050,5.05,ESTIMATOR_VAR,171.597,29.853,0.134
3345,5060,5.06,ESTIMATOR_VAR,171.466,29.575,0.129
3355,5070,5.07,ESTIMATOR_VAR,171.343,29.302,0.119
3365,5080,5.08,ESTIMATOR_VAR,171.201,29.02,0.126
3376,5090,5.09,ESTIMATOR_VAR,171.057,28.739,0.129
3386,5100,5.1,ESTIMATOR_VAR,170.922,28.464,0.124
3397,5110,5.11,ESTIMATOR_VAR,170.785,28.19,0.127
3407,5120,5.12,ESTIMATOR_VAR,170.664,27.929,0.13
3418,5130,5.13,ESTIMATOR_VAR,170.517,27.652,0.126
3428,5140,5.14,ESTIMATOR_VAR,170.378,27.382,0.121
3438,5150,5.15,ESTIMATOR_VAR,170.238,27.113,0.124
3448,5160,5.16,ESTIMATOR_VAR,170.098,26.845,0.129
3459,5170,5.17,ESTIMATOR_VAR,169.956,26.579,0.132
3469,5180,5.18,ESTIMATOR_VAR,169.814,26.314,0.119
3479,5190,5.19,ESTIMATOR_VAR,169.671,26.049,0.121
3489,5200,5.2,ESTIMATOR_VAR,169.529,25.788,0.126
3500,5210,5.21,ESTIMATOR_VAR,169.386,25.527,0.124
3510,5220,5.22,ESTIMATOR_VAR,169.249,25.272,0.127
3520,5230,5.23,ESTIMATOR_VAR,169.105,25.014,0.134
3530,5240,5.24,ESTIMATOR_VAR,168.96,24.756,0.132
3541,5250,5.25,ESTIMATOR_VAR,168.807,24.495,0.124
3551,5260,5.26,ESTIMATOR_VAR,168.661,24.241,0.118
3561,5270,5.27,ESTIMATOR_VAR,168.505,23.981,0.118
