Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Type,Hour,Minute,Second,Latitude [deg],Latitude [decimal],Longitude [deg],Longitude [decimal],Satellite,Altitude,HDOP
0,201,0.201,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
1,201,0.201,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
2,203,0.203,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
8,502,0.502,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
10,502,0.502,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
11,504,0.504,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
396,1001,1.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
397,1001,1.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
398,1001,1.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
850,1501,1.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
851,1501,1.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
852,1501,1.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
1303,2002,2.002,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
1304,2002,2.002,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
1305,2002,2.002,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
1766,2501,2.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
1767,2501,2.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
1768,2501,2.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
2229,3001,3.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
2230,3001,3.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
2231,3001,3.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
2693,3501,3.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
2694,3501,3.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
2695,3501,3.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
3156,4001,4.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
3157,4001,4.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
3158,4001,4.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
3620,4501,4.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
3621,4501,4.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
3622,4501,4.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
4083,5001,5.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
4084,5001,5.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
4085,5001,5.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
4547,5501,5.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
4548,5501,5.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
4549,5501,5.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
5010,6001,6.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
5011,6001,6.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
5012,6001,6.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
5474,6501,6.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
5475,6501,6.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
5476,6501,6.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
5937,7001,7.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
5938,7001,7.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
5939,7001,7.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
6401,7501,7.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
6402,7501,7.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
6403,7501,7.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
6864,8001,8.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
6865,8001,8.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
6866,8001,8.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
7328,8501,8.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
7329,8501,8.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
7330,8501,8.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
7791,9001,9.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
7792,9001,9.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
7793,9001,9.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
8255,9501,9.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
8256,9501,9.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
8257,9501,9.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
8718,10001,10.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
8719,10001,10.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
8720,10001,10.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
9182,10501,10.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
9183,10501,10.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
9184,10501,10.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
9645,11001,11.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
9646,11001,11.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
9647,11001,11.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
10109,11501,11.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
10110,11501,11.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
10111,11501,11.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
10572,12001,12.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
10573,12001,12.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
10574,12001,12.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
11036,12501,12.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
11037,12501,12.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
11038,12501,12.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
11499,13001,13.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
11500,13001,13.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
11501,13001,13.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
11963,13501,13.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
11964,13501,13.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
11965,13501,13.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
12426,14001,14.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
12427,14001,14.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
12428,14001,14.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
12890,14501,14.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
12891,14501,14.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
12892,14501,14.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
13353,15001,15.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
13354,15001,15.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
13355,15001,15.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
13817,15501,15.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
13818,15501,15.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
13819,15501,15.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
14280,16001,16.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
14281,16001,16.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
14282,16001,16.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
14744,16501,16.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
14745,16501,16.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
14746,16501,16.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
15207,17001,17.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
15208,17001,17.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
15209,17001,17.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
15671,17501,17.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
15672,17501,17.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
15673,17501,17.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
16134,18001,18.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
16135,18001,18.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
16143,18001,18.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
16598,18501,18.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
16599,18501,18.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
16600,18501,18.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
17061,19001,19.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
17062,19001,19.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
17063,19001,19.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
17525,19501,19.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
17526,19501,19.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
17527,19501,19.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
17988,20001,20.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
17989,20001,20.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
17990,20001,20.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
18452,20501,20.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
18453,20501,20.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
18454,20501,20.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
18915,21001,21.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
18916,21001,21.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
18917,21001,21.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
19379,21501,21.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
19380,21501,21.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
19381,21501,21.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
19842,22001,22.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
19843,22001,22.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
19844,22001,22.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
20306,22501,22.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
20307,22501,22.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
20308,22501,22.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
20769,23001,23.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
20770,23001,23.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
20771,23001,23.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
21233,23501,23.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
21234,23501,23.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
21235,23501,23.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
21609,24002,24.002,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
21610,24002,24.002,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
21611,24002,24.002,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
22268,27001,27.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
22269,27001,27.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
22270,27001,27.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
22731,27501,27.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
22732,27501,27.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
22733,27501,27.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
23195,28001,28.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
23196,28001,28.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
23197,28001,28.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
23658,28501,28.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
23659,28501,28.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
23660,28501,28.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
24122,29001,29.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
24123,29001,29.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
24124,29001,29.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
24585,29501,29.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
24586,29501,29.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
24587,29501,29.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
25049,30001,30.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
25050,30001,30.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
25051,30001,30.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
25512,30501,30.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
25513,30501,30.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
25514,30501,30.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
25976,31001,31.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
25977,31001,31.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
25978,31001,31.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
26439,31501,31.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
26440,31501,31.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
26441,31501,31.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
26903,32001,32.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
26904,32001,32.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
26905,32001,32.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
27366,32501,32.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
27367,32501,32.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
27368,32501,32.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
27830,33001,33.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
27831,33001,33.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
27832,33001,33.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
28293,33501,33.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
28294,33501,33.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
28295,33501,33.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
28757,34001,34.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
28758,34001,34.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
28759,34001,34.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
29220,34501,34.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
29221,34501,34.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
29222,34501,34.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
29684,35001,35.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
29685,35001,35.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
29686,35001,35.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
30147,35501,35.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
30148,35501,35.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
30149,35501,35.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
30611,36001,36.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
30612,36001,36.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
30613,36001,36.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
31074,36501,36.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
31075,36501,36.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
31076,36501,36.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
31538,37001,37.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
31539,37001,37.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
31540,37001,37.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
32001,37501,37.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
32002,37501,37.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
32003,37501,37.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
32465,38001,38.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
32466,38001,38.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
32467,38001,38.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
32928,38501,38.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
32929,38501,38.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
32930,38501,38.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
33392,39001,39.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
33393,39001,39.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
33394,39001,39.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
33855,39501,39.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
33856,39501,39.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
33857,39501,39.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
34319,40001,40.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
34320,40001,40.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
34321,40001,40.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
34782,40501,40.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
34783,40501,40.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
34784,40501,40.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
35246,41001,41.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
35247,41001,41.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
35248,41001,41.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
35709,41501,41.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
35710,41501,41.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
35711,41501,41.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
36173,42001,42.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
36174,42001,42.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
36175,42001,42.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
36636,42501,42.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
36637,42501,42.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
36638,42501,42.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
37100,43001,43.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
37101,43001,43.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
37102,43001,43.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
37563,43501,43.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
37564,43501,43.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
37565,43501,43.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
38027,44001,44.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
38028,44001,44.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
38029,44001,44.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
38490,44501,44.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
38491,44501,44.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
38492,44501,44.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
38954,45001,45.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
38955,45001,45.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
38956,45001,45.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
39417,45501,45.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
39418,45501,45.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
39419,45501,45.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
39881,46001,46.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
39882,46001,46.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
39883,46001,46.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
40344,46501,46.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
40345,46501,46.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
40346,46501,46.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
40808,47001,47.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
40809,47001,47.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
40810,47001,47.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
41271,47501,47.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
41272,47501,47.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
41273,47501,47.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
41735,48001,48.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
41736,48001,48.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
41737,48001,48.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
42198,48501,48.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
42199,48501,48.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
42200,48501,48.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
42662,49001,49.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
42663,49001,49.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
42664,49001,49.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
43125,49501,49.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
43126,49501,49.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
43127,49501,49.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
43588,50001,50.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
43589,50001,50.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
43590,50001,50.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
44052,50501,50.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
44053,50501,50.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
44054,50501,50.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
44515,51001,51.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
44516,51001,51.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
44517,51001,51.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
44979,51501,51.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
44980,51501,51.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
44981,51501,51.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
45442,52001,52.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
45443,52001,52.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
45444,52001,52.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
45906,52501,52.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
45907,52501,52.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
45908,52501,52.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
46369,53001,53.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
46370,53001,53.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
46371,53001,53.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
46833,53501,53.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
46834,53501,53.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
46835,53501,53.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
47296,54001,54.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
47297,54001,54.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
47298,54001,54.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
47760,54501,54.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
47761,54501,54.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
47762,54501,54.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
48223,55001,55.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
48224,55001,55.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
48225,55001,55.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
48687,55501,55.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
48688,55501,55.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
48689,55501,55.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
49150,56001,56.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
49151,56001,56.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
49152,56001,56.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
49614,56501,56.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
49615,56501,56.501,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
49616,56501,56.501,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
50077,57001,57.001,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
50078,57001,57.001,SENSOR,2,GPS,0,0,0,0,0,0,0,0,0,0
50079,57001,57.001,SENSOR,3,GPS,0,0,0,0,0,0,0,0,0,0
50541,57501,57.501,SENSOR,1,GPS,0,0,0,0,0,0,0,0,0,0
